Country,Continent,Wine,Beer,Spirits,RWine,RBeer,RSpirits
Algeria,Africa & Middle East,48.0,39.0,13.0,5.0,4.0,1.0
Angola,Africa & Middle East,14.0,67.0,19.0,5.0,4.0,1.0
Benin,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Bostwana,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Burkina,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Burundi,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Cameroon,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Cape Verde,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Central African Republic,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Chad,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Comoros,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Democratic Republic of the Congo,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Djibouti,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Egypt,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Equatorial Guinea,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Eritrea,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Gabon,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Gambia,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Ghana,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Guinea,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Guinea-Bissau,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Ivory Coast,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Kenya,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Lesotho,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Liberia,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Libya,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Madagascar,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Malawi,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Mali,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Mauritania,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Mauritius,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Morocco,Africa & Middle East,48.0,36.0,15.0,5.0,4.0,1.0
Mozambique,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Namibia,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Niger,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Nigeria,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Republic of the Congo,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
Rwanda,Africa & Middle East,14.0,67.0,19.0,1.0,7.0,2.0
