Unnamed: 0,number,이름,이미지,종류,원재료,도수,용량,제품 소개,어울리는 음식,양조장명,페이지 링크,sweet,salty,bitter,sour,sparkle,sol,spicy
0,0,1000억 유산균 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000170&targetNm=PRODUCT,탁주,"국내산쌀, 누룩",5.0,750ml,"1000억 유산균 막걸리는 국순당이 최초로 선보인 유산균 강화 막걸리다. 식물성 유산균이 막걸리 한 병(750mL)에 1000억 마리 이상이 들어 있다. 시중에 판매되는 일반 생막걸리 한 병(자사 생막걸리 750mL 기준)당 1억 마리 가량의 유산균이 들어 있는 것과 비교하면 약 1000배 많이 들어있고, 일반 유산균음료 보다 약 100배 많이 들어 있다.","적당한 감칠맛과 청량미가 있어 전, 회무침과 잘 어울린다.",국순당,http://www.ksdb.co.kr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1932 새싹땅콩+햅쌀/흑미,https://thesool.com/common/imageView.do?targetId=PR00000210&targetNm=PRODUCT,탁주,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",6.0,"500ml, 900ml","당해연도 고시히카리쌀과 진도산 흑미를 주 원료로 사용하였다. 새싹땅콩의 항산화 물질인 ‘레즈베라트롤’이다량 함유 되었있고, 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성감미료는 사용하지 않았으며, 미생물 발효 조절방식으로 냉장보관 시 신선한 맛과 주질을 유지할 수 있다. 고급한정식당, 호텔, 백화점 위주로 납품되어지고 있다.",마늘새우,(주)1932 포천일동막걸리,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2017년 햅쌀로 빚은 첫술,https://thesool.com/common/imageView.do?targetId=PR00000211&targetNm=PRODUCT,탁주,국내산 햅쌀,7.000000000000001,750ml,"2017년 햅쌀로 빚은 첫술은 매년 가을철, 그 해 수확한 햅쌀로 빚은 프리미엄 생 막걸리로 계절 한정 상품으로 선보인다. 올해 수확한 경북 안동 햅쌀을 원료로 빚어, 생 막걸리 특유의 탄산감이 살아있으면서도 부드럽고 신선한 쌀의 향과 맛을 느낄 수 있다.,",,국순당,http://www.ksdb.co.kr,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,52C,https://thesool.com/common/imageView.do?targetId=PR00000737&targetNm=PRODUCT,증류주,"정제수, 주정, 증류식소주원액, 오이",17.5,500ml,"오이처럼 cool 하게 즐기는 싱싱한 오이 증류주. 예전에 유행했던 소주에 오이를 넣어 마시는 오이소주를 떠올리며 만든 술이다. 오이를 소주에 담그면 오이의 색과 향이 소주의 알코올 성분에 침출되어 소주 특유의 쓴 맛과 아로올 취를 부드럽게 하여 술 맛을 순하게 하고 이뇨작용을 활발하게 해주어 체내의 노폐물 배설을 도와주기도 한다고 한다. 오이는 차가운 성질이라 여름에 술 마실 때 나타나는 체온 상승을 어느 정도 억제해주고, 오이의 다양한 비타민은 숙취 해소에 효과가 있다고 한다. 이런 오이의 장점을 침출해 만든 세계 최초의 증류주가 52C이다. 52C를 마시면 입안 가득 오이와 멜론 향이 퍼진다.",곱창구이,청산녹수,http://www.bluegreenkorea.co.kr,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4,DOK막걸리,https://thesool.com/common/imageView.do?targetId=PR00000669&targetNm=PRODUCT,탁주,"정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모",6.0,"1,000ml",DOK막걸리는 우리 누룩 특유의 발효 특성을 연구하여 출시한 막걸리로 막걸리 본연의 맛을 낼 수 있도록 노력한 결과입니다. 잘 익은 참외와 멜론의 달콤하고 상큼한 과육향을 싱그럽고 경쾌하게 즐길 수 있는 프리미엄 막걸리입니다.,,독브루어리,https://www.instagram.com/dokbrewery/?hl=ko,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,5,G12 골디락스,https://thesool.com/common/imageView.do?targetId=PR00000707&targetNm=PRODUCT,탁주,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",12.0,500ml,"싱그러운 과일향과 부드러운 목 넘김으로 마시기 딱 좋은 막걸리. Ice 공법으로 차갑게 발효하고 더 차갑게 숙성했다. 담백한 맛의 멥쌀과 감칠맛 나는 찹쌀을 오랜 연구개발 끝에 최적의 비율로 사용하여 소박한 단맛을 구현하였고, 여기에 12℃ 저온에서 30일간의 발효와 12℃에서 30일간의 숙성 과정을 거친 깔끔한 막걸리이다. 제품명 G12에서 12는 알코올 도수 12도를 의미하고, G는 마시기 딱 좋은 조화로운 맛의 균형이라는 제품 특성을 담을 수 있도록 Goldilocks의 첫 글자를 따서 이름을 지었다. Goldilocks는 영국의 전래동화 &amp;#039;골디락스와 세 마리 곰&amp;#039; 주인공 소녀의 이름에서 유래한 용어로 뜨겁지도 차갑지도 않은 적당한 상태를 의미한다.","닭백숙, 오리백숙, 편육, 새우젓, 겉절이",청산녹수,http://www.bluegreenkorea.co.kr,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,SSOA-포도,https://thesool.com/common/imageView.do?targetId=PR00000644&targetNm=PRODUCT,리큐르/기타주류,국내산 포도,5.0,355ml,포도주를 이용한 특유한 스파클링와인으로서 우수한 포천포도를 와인으로 제조하여 뛰어난 맛과 향을 느낄 수 있으며 탄산의 시원함을 동시에 느낄 수 있고 목넘김이 아주 좋은 것이 특징이다.,"피자, 치킨남녀노소 누구나 할 것 없이 좋아하는 대표음식인 피자와 치킨에 SSOA-포도를 겸하면 톡 쏘는 탄산과 스파클링의 조화가 아주 잘 어울리며 자칫 느끼할 수 있는 피자, 치킨의 기름진 맛을 포도의 상큼함이 깔끔하게 만들어 준다.",㈜포천조술당,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,The 찾을수록,https://thesool.com/common/imageView.do?targetId=PR00000554&targetNm=PRODUCT,증류주,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",15.0,360ml,"더찾을수록 시리즈는 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주다. 패키지 디자인은 녹색 희석식 소주와 흡사하지만 제품은 증류주가 아닌 과실주로 분류된다. 미국 마켓의 경우 맥주와 와인 판매허가만 있는 경우 소주를 판매할 수 없는 점에 착안하여 디자인은 소주이나 제품은 사과와인으로 미국 내 많은 마켓에 입점하기 위한 전략에서 디자인된 제품이다.",식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,㈜한국애플리즈,http://www.applewine.co.kr/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,가야 프리미엄 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000056&targetNm=PRODUCT,탁주,김해 쌀(100%),6.0,750ml,풍부한 일조량은 받고 자란 김해 쌀로 만든 가야는 감미료를 전혀 넣지 않았음에도 꽃 향기 등이 나고 새콤달콤한 맛을 느낄 수 있습니다.,"인공탄산, 인공 감밀가 들어가지 않아 우리나라의 다양한 음식들과 잘 어울립니다.",가야양조장,https://www.instagram.com/gaya_brewery/?hl=ko,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,9,가야곡왕주,https://thesool.com/common/imageView.do?targetId=PR00000350&targetNm=PRODUCT,"약주, 청주","쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",13.0,750ml,"조선의 마지막국모 명성황후 민씨의 친정에서 빚던 가양주로 종묘대제의 제주(祭酒)로 사용되고 있다. 제철에 채취한 초, 근, 목, 피를 이용해야 약재의 효능을 최고로 끌어올릴 수 있는데, 가야곡왕주는 가야곡의 맑은 물과 제철솔잎, 구절초, 홍삼, 매실 등을 이용해 술에 다양한 맛과 향을 불어 넣은 좋은 약주라 할 수 있다.","갈비 소고기나 돼지고기를 양념한 갈비와 함께 먹으면 몸에 좋은 약재의 효능과 함께 영양도 챙길 수 있고, 술의 다양한 맛과 향이 갈비의 이취도 없애주어 좋다.",민속주왕주,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,가평 잣 생막걸리,https://thesool.com/common/imageView.do?targetId=PR00000158&targetNm=PRODUCT,탁주,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등",6.0,750ml,"가평의 잣을 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다. 일반 막걸리는 완전 발효가 되지 않는 미숙주가 많아 상품 상태에서도 발효가 활발하기 때문에 병을 흔들면 가스로 병이 터지거나, 넘치는 현상이 일어난다. 하지만 가평 생 막걸리는 저온 장기숙성방식으로 완전 발효를 실현하여 완숙주로 출시되어 흔들어도 터지거나 넘치지 않는다. 단맛, 신맛, 바디감, 목넘김 등 맛이 튀지 않고 적당하다. 쌀 막걸리의 가벼운 바디감과 부드러운 목넘김이 좋은 막걸리다.",반찬으로 나오는 우리음식과 모두 잘 어울린다.,우리술,http://www.woorisool.kr,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,11,각시탈,https://thesool.com/common/imageView.do?targetId=PR00000738&targetNm=PRODUCT,증류주,"쌀증류원액(쌀: 국내산), 정제수, 발효주정",45.0,200ml,국내산 쌀 100%로 만든 700년 전통의 증류식 안동소주로 부드럽고 깔끔하여 숙취가 적다. 화학첨가물이 전혀 들어가지 않아 안심하고 먹을 수 있으며 증류식 소주로 은은한 향과 감칠맛이 개운하며 목넘김이 순하고 담백하다. 국내 유일하게 3회 여과한 증류원액을 사용하여 화근 냄새를 줄였으며 전통의 맛과 향을 개선하여 누구나 즐길 수 있게 대중화했다. 마신 후 입안 가득 향이 퍼지며 뒤끝이 깨끗하여 다음날 숙취가 적은 전통주이다. 각시탈 모양으로 선물하기 좋다.,,명품안동소주,https://andongsojump.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,감그린 레귤러,https://thesool.com/common/imageView.do?targetId=PR00000426&targetNm=PRODUCT,과실주,감(국내산),12.0,750ml,"""감그린 레귤러""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",가벼운 청포도향과 감 특유의 가벼운 탄닌감이 살아있는 맛이다. 감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,청도감와인,http://www.gamwine.com/company/main.php,1.0,0.0,0.0,1.0,1.0,0.0,0.0
13,13,감그린 스페셜,https://thesool.com/common/imageView.do?targetId=PR00000425&targetNm=PRODUCT,과실주,감(국내산),12.0,750ml,"""감그린 스페셜""은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",감 본래의 맛을 잘 살린 와인으로 과육을 씹는 듯한 식감을 자랑하는 와인이다. 감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,청도감와인,http://www.gamwine.com/company/main.php,1.0,0.0,0.0,1.0,1.0,0.0,0.0
14,14,감그린 아이스와인,https://thesool.com/common/imageView.do?targetId=PR00000424&targetNm=PRODUCT,과실주,감(국내산),10.0,375ml,"""감그린 아이스와인""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.","진한 감 특유의 맛을 자랑하는 와인으로 숙성을 거듭한 홍시와 같은 식감이다. 진한 맛을 자랑하는 만큼 다양한 치즈 류와도 궁합이 좋다. 가벼운 맛의 모짜렐라 치즈부터 까방베르, 스모키 치즈까지 다양한 조합을 이룬다.",청도감와인,http://www.gamwine.com/company/main.php,1.0,0.0,0.0,1.0,1.0,0.0,0.0
15,15,감사,https://thesool.com/common/imageView.do?targetId=PR00000330&targetNm=PRODUCT,"약주, 청주","쌀(국내산 경기미 100%), 누룩, 정제수",14.000000000000002,375ml,값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 전통 청주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 부드러운 단맛과 은은한 과실향의 산미가 여운을 남깁니다. 한결 더 정돈된 맛의 살균약주 ‘감사 블루’도 인기입니다.,"불고기,잡채",술샘,http://www.sulseam.com,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16,16,감사블루,https://thesool.com/common/imageView.do?targetId=PR00000326&targetNm=PRODUCT,"약주, 청주","쌀(국내산 경기미 100%), 누룩, 효모, 정제수",14.000000000000002,375ml,"감사블루는 값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 술샘의 &quot;감사&quot;를 살균한 약주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 은은하게 올라오는 과실향과 익은 곡물 맛이 특징이며, 전체적으로 단맛과 신맛 등 오미의 균형이 잘 갖춰져 있고, 부드러운 목넘김을 가지고 있습니다.",,술샘,http://www.sulseam.com,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,17,감아락 25,https://thesool.com/common/imageView.do?targetId=PR00000507&targetNm=PRODUCT,증류주,"국내산 쌀, 감증류원액",25.0,500ml,"대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛의 감동을 선사하고 있는 배상면주가의 제품이다. 2015년 대한민국 우리술품평회 일반증류주 부문 우수상을 수상하며 맛과 품질을 인정 받았다. 아락은 아랍의 ‘아라그’, 몽골의 ‘아라케’, 만주의 ‘알키’와 같이 증류주를 부르는 세계의 공통어라고 할 수 있다. 우리나라 고려시대 평양, 안동, 제주도에서 ‘아락’이라 불려진 것이 시초이다. 느린마을 감아락 25도는 리페놀이 풍부한 대봉감을 증류해 감 특유의 향긋한 향과 달콤한 첫 맛이 특징이며, 쌀 베이스에 대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛을 자랑한다. 감의 풍부한 탄닌감을 입안 한 가득 느낄 수 있다.",맑고 투명하며 알코올향과 함께 농익은 과실향이 은은하게 올라온다. 입에 넣으면 아주 약한 단맛이 전체 술을 부드럽게 만들어주고 박하와 같이 시원한 맛이 혀에 자리를 잡아 술을 부드럽게 만들어 준다. 아주 편하게 즐길 수 있는 술이다. 견과류와 잘 어울린다.,배상면주가,https://www.soolsool.co.kr/,1.0,0.0,0.0,0.0,1.0,0.0,1.0
18,18,감악산 산머루주,https://thesool.com/common/imageView.do?targetId=PR00000443&targetNm=PRODUCT,과실주,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",12.0,360ml,"머루는 쌍떡잎식물 갈매나무목 포도과에 속하는 덩굴식물로 우리나라, 일본, 중국 등지에 분포합니다. 감악산 산머루주는 감악산 주변 농가에서 무공해로 재배한 친환경 머루만을 사용하는 과실주입니다. 9월 경 잘 익은 머루를 수확해 줄기와 병든 머루 등 불순물을 제거한 뒤 착즙기를 이용해 제조합니다. 감악산 머루주는 친환경 재배 기술을 사용하는 데다 전통비법으로 만든 질그릇 항아리에 100% 머루만으로 술을 빚습니다. 단맛은 거의 없고 시큼하면서도 머루의 무거운 향이 입안에 오래 남습니다.","갈비, 불고기와 곁들이면 입맛도 돋우고 느끼함도 해소해 줍니다.",산머루농원,http://www.sanmeoru.com,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19,19,감이슬,https://thesool.com/common/imageView.do?targetId=PR00000506&targetNm=PRODUCT,증류주,국내산 감,23.0,375ml,"감이슬""은 충청남도 논산에서 재배한 감을 활용해 만든 증류주이다. 늦가을 수확한 홍시를 와인으로 개발하기 위해 홍국균을 이용한 전문적인 발효 기술을 개발하고 고유의 풍미를 내기 위해 10여년을 연구하여 만들어낸 제품이다. 떫은 감을 홍국 균주로 당화 시켜 효모발효를 통해 얻어진 추시와인(감와인)을 1년간 저장고에서 숙성시켜 동증류기로 수차례 증류하고 자작나무숯 여과를 거쳐 얻어진 증류주이다.",양촌감영농조합법인에는 두 종류 감 증류주가 있다. 하나는 16% 감이슬 그리고 다른 하나는 PERSIMMON VODKA 32%이다. 감이슬은 맑고 투명한데 반해 PERSIMMON VODKA 는 아주 옅은 황금빛 미색을 가지고 있어 차이가 난다. 감이슬은 도수가 낮고 부드러워 누구나 편하게 마실 수 있는 증류주로 양념이 되지 않은 생선찜 등과 잘 어울린다.,양촌감영농조합법인,https://shopping.naver.com/fresh/traditionalalcohol/stores/100294111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,감자술 13%,https://thesool.com/common/imageView.do?targetId=PR00000281&targetNm=PRODUCT,"약주, 청주","국내산 백미, 국내산 감자, 누룩, 효모, 정제수",13.0,700ml,"""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 준다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌다.",살짝 갈아놓은 감자에서 느낄 수 있는 식감이 있다. 맑은 연두빛의 개성 있는 색깔에 담백한 단맛이 느껴진다. 너무 맵고 짠 음식은 자칫 감자술의 은은한 맛이 가려질 수 있기 때문에 자극적이지 않은 안주를 추천합니다. 기름진 감자전하고 즐기면 딱 좋은 맛이다.,오대서주양조,http://www.pcwine.co.kr/main/index,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,강소주,https://thesool.com/common/imageView.do?targetId=PR00000544&targetNm=PRODUCT,증류주,"국내산 쌀, 정제수",50.0,"200ml, 1800ml","강소주는 알코올 도수 50%의 고도주로 스트레이트로 직접 마시기 보다는 칵테일과 담금용 전용술로 제조한 술이다. 강소주로 담근술은 알코올 살균, 방부작용으로 보존성이 높고 재료의 고유 성분을 잘 추출해주어 맛과 향이 잘 우러나게 한다. 혼탁함과 침전물이 적어 고급 담금술을 만들 때 좋다. 또한 강소주를 베이스로 한 다양한 부재료를 활용하여 칵테일로 제조하여 마시면 색다른 맛을 즐길 수 있다.","알코올 향이 매우 강하고 여기에 미세하게 달콤한 향이 따라 올라온다. 국내에서는 보기 드물게 보리로만 제조된 리큐르이며, 보리 특유의 크림과 같은 맛을 느낄 수 있다. 도수가 높지만 단맛이 강해 입 안의 느낌과 마시고 난 후가 매우 깔끔하다.",내국양조,https://cafe.naver.com/jumarusa,1.0,0.0,0.0,0.0,0.0,0.0,1.0
