Unnamed: 0,index,이름,이미지 링크,data,종류,도수,용량,taste,food,info,bitter,sweet,sour,sol,spicy,salty,sparkle
0,0,매실원주,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/LlIC-1637223491979-%EB%A7%A4%EC%8B%A4%EC%9B%90%EC%A3%BC-2.jpg,"[매실원주], 어떤 맛을 갖고 있나요?‘매실원주 13’은 꿀과 매실 향을 달콤하게 풍기는 술이에요.알코올 특유의 맛과 향은 없는 편이며매실의 자연스러운 단맛과 부드러운 목 넘김이 돋보이는데요.이미 너무나도 많은 사람을 매료시켜버릴 만큼 맛있게 즐길 수 있는 리큐르(증류주)랍니다.[매실원주], 어떤 음식과 잘 어울리나요?매실 특유의 단맛과 연한 산미가 있어 식전주나 식후주에 잘 어울리는데요.각종 디저트류나 에피타이저와 함께라면 금상첨화겠지요~?[매실원주], 알고 마시면 더 맛있어요!국내에서 유일하게 과실주를 첨가하지 않고 매실주 원액 100%로 만든 술이에요.대부분의 매실주들이 덜 익은 상태의 청매실을 사용 하는것과 달리완숙한 황매실을 사용하여 본연의 향미를 더했는데요.수확 후 바로 술을 담지 않으면 망가지는 황매실의 특성 때문에아이스 와인처럼 급속 동결하여 침출 후 1~5년 숙성하는 방식으로 단맛을 극대화 했답니다.",리큐르,13.0,375ml,‘매실원주 13’은 꿀과 매실 향을 달콤하게 풍기는 술이에요.알코올 특유의 맛과 향은 없는 편이며매실의 자연스러운 단맛과 부드러운 목 넘김이 돋보이는데요.이미 너무나도 많은 사람을 매료시켜버릴 만큼 맛있게 즐길 수 있는 리큐르(증류주)랍니다.,매실 특유의 단맛과 연한 산미가 있어 식전주나 식후주에 잘 어울리는데요.각종 디저트류나 에피타이저와 함께라면 금상첨화겠지요~?,국내에서 유일하게 과실주를 첨가하지 않고 매실주 원액 100%로 만든 술이에요.대부분의 매실주들이 덜 익은 상태의 청매실을 사용 하는것과 달리완숙한 황매실을 사용하여 본연의 향미를 더했는데요.수확 후 바로 술을 담지 않으면 망가지는 황매실의 특성 때문에아이스 와인처럼 급속 동결하여 침출 후 1~5년 숙성하는 방식으로 단맛을 극대화 했답니다.,0,1,0,0,0,0,0
1,1,담은,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/R1o4-1657597732636-00.jpg,"[담은], 어떤 맛을 갖고 있나요?마치 우유를 마시는 듯한 착각을 줄 만큼 부드러운 목넘김이 매력적인 술이에요 :)무첨가 프리미엄 막걸리인 '담은'은 쌀에서 오는 풍부한 단맛이 특징인데요.평소 막걸리의 톡쏘는 탄산과 자극적인 단맛이 부담스러우셨던 분들에게추천해드리고 싶은 술입니다.[담은], 어떤 음식과 잘 어울리나요?'담은'은 달콤하고 부드러움이 특징인 만큼 매콤한 음식과 궁합이 잘 맞습니다.속이 아리게 매운 음식을 먹어도 우유같이 식도를 감싸는 '담은'의 달콤함이즉각 그 매운맛을 순화시켜줄 거예요.[담은], 알고 마시면 더 맛있어요!'구름은 어떤 맛일까?' 라는 호기심을 시작으로 탄생하게 된 구름을 닮은 술, '담은'은전통 누룩의 우수한 균주만 사용해 100% 수제 공법으로생쌀 발효시킨 프리미엄 막걸리인데요.포천의 맑은 물과 86년이 넘는 막걸리 발효의 노하우와 제품 디자인을 전공하신 대표님의미적 감각이 만나 만들어진 하나의 작품이랍니다.",탁주,6.5,750ml,마치 우유를 마시는 듯한 착각을 줄 만큼 부드러운 목넘김이 매력적인 술이에요 :)무첨가 프리미엄 막걸리인 '담은'은 쌀에서 오는 풍부한 단맛이 특징인데요.평소 막걸리의 톡쏘는 탄산과 자극적인 단맛이 부담스러우셨던 분들에게추천해드리고 싶은 술입니다.,'담은'은 달콤하고 부드러움이 특징인 만큼 매콤한 음식과 궁합이 잘 맞습니다.속이 아리게 매운 음식을 먹어도 우유같이 식도를 감싸는 '담은'의 달콤함이즉각 그 매운맛을 순화시켜줄 거예요.,"'구름은 어떤 맛일까?' 라는 호기심을 시작으로 탄생하게 된 구름을 닮은 술, '담은'은전통 누룩의 우수한 균주만 사용해 100% 수제 공법으로생쌀 발효시킨 프리미엄 막걸리인데요.포천의 맑은 물과 86년이 넘는 막걸리 발효의 노하우와 제품 디자인을 전공하신 대표님의미적 감각이 만나 만들어진 하나의 작품이랍니다.",0,1,1,0,0,0,1
2,2,고흥 유자주 8%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/hOO0-1630313366972-yuja0.jpg,"6/22(수)부터 변경된 라벨로 발송됩니다:)[고흥 유자주 8%], 어떤 맛을 갖고 있나요?새콤달콤한 유자 향 뒤에 고소 담백한 곡물 향을 느낄 수 있는 술이에요.맛을 보면 유자차로 착각할 만큼 비슷한 맛을 가지고 있는데요.달콤한 맛이 자연스럽게 사라질 때 쯤 누룩의 고소하고 담백한 맛이 느껴지면서비로소 약주를 마시고 있음을 깨닫게 될 거예요 :) [고흥 유자주 8%], 어떤 음식과 잘 어울리나요?와플이나 과일 타르트 같은 디저트류와 달콤하게 즐기기 좋은 술이에요.음식과 함께한다면 크림 새우나 탕수육을 추천하는데요.유자의 새콤 쌉싸름한 맛이 느끼한 맛을 싹 잡아줄 거에요. [고흥 유자주 8%], 알고 마시면 더 맛있어요!전남 고흥은 우리나라 유자 생산량 중 43%를 차지하는 곳이에요.30년 이상 된 고목에서 자란 유자를 술에 넣어 사용하는데요.나이가 많은 나무는 생산량이 떨어지는 대신더욱 농축된 당도와 풍미를 지닌 과실을 맺어 프리미엄으로 인정받는다고 합니다.",살균약주,8.0,500ml,새콤달콤한 유자 향 뒤에 고소 담백한 곡물 향을 느낄 수 있는 술이에요.맛을 보면 유자차로 착각할 만큼 비슷한 맛을 가지고 있는데요.달콤한 맛이 자연스럽게 사라질 때 쯤 누룩의 고소하고 담백한 맛이 느껴지면서비로소 약주를 마시고 있음을 깨닫게 될 거예요 :) ,와플이나 과일 타르트 같은 디저트류와 달콤하게 즐기기 좋은 술이에요.음식과 함께한다면 크림 새우나 탕수육을 추천하는데요.유자의 새콤 쌉싸름한 맛이 느끼한 맛을 싹 잡아줄 거에요. ,전남 고흥은 우리나라 유자 생산량 중 43%를 차지하는 곳이에요.30년 이상 된 고목에서 자란 유자를 술에 넣어 사용하는데요.나이가 많은 나무는 생산량이 떨어지는 대신더욱 농축된 당도와 풍미를 지닌 과실을 맺어 프리미엄으로 인정받는다고 합니다.,0,1,1,0,1,0,0
3,3,서울의 밤,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/eluC-1637227145655-%EC%84%9C%EC%9A%B8%EC%9D%98%EB%B0%A4.jpg,"[서울의 밤], 어떤 맛을 갖고 있나요?‘서울의 밤’은 25도라는 높은 도수를 가지고 있지만씁쓸한 맛보단 매실의 달콤한 풍미가 돋보이는 술이에요.목을 넘기는 동시에 코와 입, 목으로 상쾌하게 퍼지는 매실의 풍미 또한 가히 예술이라 할 수 있는데요.마시고 나면 언제 마셨는지 모를 만큼 깔끔함까지 느낄 수 있을 거예요 :) [서울의 밤], 어떤 음식과 잘 어울리나요?‘서울의 밤’의 높은 도수는 느끼함을 싹-잡아주므로삼겹살, 오리고기와 같은 기름진 음식과 함께하기 좋습니다.‘서울의 밤’의 깔끔함을 더욱 극대화하여 즐기고 싶다면생선회나 샤브샤브처럼 담백한 음식과 함께하시길 추천해 드립니다! 풍부한 매실향을 지닌 ‘서울의 밤’은 온더락으로 즐겨도 충분히 맛과 향을 느낄 수 있답니다.[서울의 밤], 알고 마시면 더 맛있어요!100% 황매실을 사용해 만든 매실원주를 감압 증류한 후노간주 나무 열매(주니퍼 베리)를 침전 시켜 2차 증류하는 방식으로 만든 술인데요.일반적으로 외국의 '진'은 옥수수나 호밀 등의 곡류를 사용해 원주를 만드는 반면서울의 밤은 매실로 만든 소주에다 노간주 나무 열매를 침출 시키는 한국형 '진'이랍니다.",리큐르,25.0,375ml,"‘서울의 밤’은 25도라는 높은 도수를 가지고 있지만씁쓸한 맛보단 매실의 달콤한 풍미가 돋보이는 술이에요.목을 넘기는 동시에 코와 입, 목으로 상쾌하게 퍼지는 매실의 풍미 또한 가히 예술이라 할 수 있는데요.마시고 나면 언제 마셨는지 모를 만큼 깔끔함까지 느낄 수 있을 거예요 :) ","‘서울의 밤’의 높은 도수는 느끼함을 싹-잡아주므로삼겹살, 오리고기와 같은 기름진 음식과 함께하기 좋습니다.‘서울의 밤’의 깔끔함을 더욱 극대화하여 즐기고 싶다면생선회나 샤브샤브처럼 담백한 음식과 함께하시길 추천해 드립니다! 풍부한 매실향을 지닌 ‘서울의 밤’은 온더락으로 즐겨도 충분히 맛과 향을 느낄 수 있답니다.",100% 황매실을 사용해 만든 매실원주를 감압 증류한 후노간주 나무 열매(주니퍼 베리)를 침전 시켜 2차 증류하는 방식으로 만든 술인데요.일반적으로 외국의 '진'은 옥수수나 호밀 등의 곡류를 사용해 원주를 만드는 반면서울의 밤은 매실로 만든 소주에다 노간주 나무 열매를 침출 시키는 한국형 '진'이랍니다.,1,1,0,0,0,0,0
4,4,토박이 한산 소곡주,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/xhxs-1657767046056-00.jpg,"[토박이 한산 소곡주], 어떤 맛을 갖고 있나요?입안에서 부드럽게 느껴지는 진득한 달콤함과 구수한 풍미는16%라는 알코올 도수를 잊게끔 만드는데요.누룩의 향이 강하지 않고 자연스러운 단맛과의 균형이 훌륭하여중도(中道)를 지키는 소곡주라 평할 수 있습니다.마지막 목 넘김에서 느껴지는 향긋한 캐러멜 향이 '토박이 소곡주'의 가장 큰 매력이니꼭 천천히 음미하며 느껴보세요. [토박이 한산 소곡주], 어떤 음식과 잘 어울리나요?소곡주는 대부분의 한식과 잘 어울리는 편인데요.그 중에서도 진득한 달콤함은 매콤한 음식과 함께했을 때 진가를 발휘합니다.깔끔한 단맛과 산미를 조화롭게 즐기기 위해선 꼭! 시원하게 마시는 것을 추천해 드립니다.[토박이 한산 소곡주], 알고 마시면 더 맛있어요!'한산 소곡주'는 앉은뱅이 술이라고도 불리는데요.그만큼 술 맛이 좋아서 한 번 마시게 되면 취하기 전까진 못 일어난다는 이야기를 담고 있습니다.충청남도 서천 한산면에는 소곡주 양조장이 모여있는 소곡주 마을이 있는데요.그 중에서도 ‘토박이 한산소곡주’는 한산 소곡주 품평회에서 2년 연속 금상을 받을 만큼소곡주 중에서도 맛이 뛰어난 술입니다.",약주,16.0,"500ml,750ml,1000ml,1500ml,1800ml",입안에서 부드럽게 느껴지는 진득한 달콤함과 구수한 풍미는16%라는 알코올 도수를 잊게끔 만드는데요.누룩의 향이 강하지 않고 자연스러운 단맛과의 균형이 훌륭하여중도(中道)를 지키는 소곡주라 평할 수 있습니다.마지막 목 넘김에서 느껴지는 향긋한 캐러멜 향이 '토박이 소곡주'의 가장 큰 매력이니꼭 천천히 음미하며 느껴보세요. ,소곡주는 대부분의 한식과 잘 어울리는 편인데요.그 중에서도 진득한 달콤함은 매콤한 음식과 함께했을 때 진가를 발휘합니다.깔끔한 단맛과 산미를 조화롭게 즐기기 위해선 꼭! 시원하게 마시는 것을 추천해 드립니다.,'한산 소곡주'는 앉은뱅이 술이라고도 불리는데요.그만큼 술 맛이 좋아서 한 번 마시게 되면 취하기 전까진 못 일어난다는 이야기를 담고 있습니다.충청남도 서천 한산면에는 소곡주 양조장이 모여있는 소곡주 마을이 있는데요.그 중에서도 ‘토박이 한산소곡주’는 한산 소곡주 품평회에서 2년 연속 금상을 받을 만큼소곡주 중에서도 맛이 뛰어난 술입니다.,0,0,0,0,0,1,0
5,5,겨울소주 25%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/4wNn-1623071000960-%EA%B2%A8%EC%9A%B8%EC%86%8C%EC%A3%BC25-5.jpg,"[겨울소주 25%], 어떤 맛을 갖고 있나요?소주하면 알코올 특유의 맛과 향이 떠오르잖아요?근데 ‘겨울소주’는 그런 나쁜 향과 맛 대신 고소하고 담백한 곡물의 향을 갖고 있어요.첨가물 없이 쌀 만을 이용해 만든 만큼 달짝지근하며 고소한 맛이 느껴지고요.정말 부드럽고 깔끔하게 넘어간답니다.[겨울소주 25%], 어떤 음식과 잘 어울리나요?언제 어디서나 다양한 음식과 잘 어울리는 술이에요.찌개, 탕, 볶음 등 여러분들 취향에 맞게 음식을 준비해서 행복한 시간을 보내보세요 :) 도수가 조금 높다! 라고 생각드시는 분들은 얼음+진토닉+라임 1조각 조합으로 가볍게 즐겨보세요.[겨울소주 25%], 알고 마시면 더 맛있어요!‘겨울소주’는 6개월간 숙성한 발효 원주의 맑은 부분을 감압식 증류하여 만들어집니다.이렇게 만들어진 증류주는 다시 6개월간 숙성을 통해 비로소 ‘겨울소주’로 탄생하게 되는데요.술을 빚기 좋은 겨울에 발효 원주를 빚는 것을 시작으로 그다음 해 겨울이 돼야 소주를 맛볼 수 있어서‘겨울소주’라는 이름을 얻게 되었으며 겨울처럼 술의 맛이 ‘맑고 깨끗하다’라는 의미도 있습니다.",증류식소주,25.0,360ml,소주하면 알코올 특유의 맛과 향이 떠오르잖아요?근데 ‘겨울소주’는 그런 나쁜 향과 맛 대신 고소하고 담백한 곡물의 향을 갖고 있어요.첨가물 없이 쌀 만을 이용해 만든 만큼 달짝지근하며 고소한 맛이 느껴지고요.정말 부드럽고 깔끔하게 넘어간답니다.,"언제 어디서나 다양한 음식과 잘 어울리는 술이에요.찌개, 탕, 볶음 등 여러분들 취향에 맞게 음식을 준비해서 행복한 시간을 보내보세요 :) 도수가 조금 높다! 라고 생각드시는 분들은 얼음+진토닉+라임 1조각 조합으로 가볍게 즐겨보세요.",‘겨울소주’는 6개월간 숙성한 발효 원주의 맑은 부분을 감압식 증류하여 만들어집니다.이렇게 만들어진 증류주는 다시 6개월간 숙성을 통해 비로소 ‘겨울소주’로 탄생하게 되는데요.술을 빚기 좋은 겨울에 발효 원주를 빚는 것을 시작으로 그다음 해 겨울이 돼야 소주를 맛볼 수 있어서‘겨울소주’라는 이름을 얻게 되었으며 겨울처럼 술의 맛이 ‘맑고 깨끗하다’라는 의미도 있습니다.,0,1,1,0,0,0,0
6,6,추사 40%,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/Pmvo-1654844288132-THUMB.jpg,"사과로 만든 오크숙성 증류주'추사40'을 소개합니다![추사 40%], 어떤 맛을 갖고 있나요?사과의 달콤한 풍미와 참나무의 스모키한 풍미로입 안을 가득 채워주는 술인데요.40도라는 높은 도수가 믿기지 않을 만큼 깔끔하고 부드러운 목 넘김을 갖고 있어서부담 없이 마실 수 있는 술입니다.고도수가 선사하는 작열감까지 빼먹지 않고 느낄 수 있으니 천천히 음미해보세요. [추사 40%], 어떤 음식과 잘 어울리나요?화려한 향을 자랑하는 술인 만큼치즈나 초콜릿처럼 화려한 풍미를 갖춘 음식과 잘 어울립니다.온도에 따라 다양한 맛을 느낄 수 있는데요.부드러움을 한층 더 느끼고 싶다면 얼음을 넣어 언더락으로달콤한 향을 더 깊게 느끼고 싶다면 실온 보관 후에 마시는 것을 추천합니다 :)[추사 40%], 알고 마시면 더 맛있어요!사과를 동증류기에 2번 증류한 후오크통에서 3년 숙성시킨 사과 증류주입니다.‘추사’에는 [가을 사과]와 [가을 이야기]라는 뜻 외에도예산이 고향인 추사 김정희 선생의 삶과 정신을 담고 있는데요.라벨 디자인에도 추사 김정희 선생이 그린 난을 삽입함으로써‘꺾였지만 살아있는 선비의 마음’을 담았습니다.상기 이미지처럼원통형 박스에 담겨 배송됩니다 :)",일반증류주,40.0,"200ml,500ml",사과의 달콤한 풍미와 참나무의 스모키한 풍미로입 안을 가득 채워주는 술인데요.40도라는 높은 도수가 믿기지 않을 만큼 깔끔하고 부드러운 목 넘김을 갖고 있어서부담 없이 마실 수 있는 술입니다.고도수가 선사하는 작열감까지 빼먹지 않고 느낄 수 있으니 천천히 음미해보세요. ,화려한 향을 자랑하는 술인 만큼치즈나 초콜릿처럼 화려한 풍미를 갖춘 음식과 잘 어울립니다.온도에 따라 다양한 맛을 느낄 수 있는데요.부드러움을 한층 더 느끼고 싶다면 얼음을 넣어 언더락으로달콤한 향을 더 깊게 느끼고 싶다면 실온 보관 후에 마시는 것을 추천합니다 :),사과를 동증류기에 2번 증류한 후오크통에서 3년 숙성시킨 사과 증류주입니다.‘추사’에는 [가을 사과]와 [가을 이야기]라는 뜻 외에도예산이 고향인 추사 김정희 선생의 삶과 정신을 담고 있는데요.라벨 디자인에도 추사 김정희 선생이 그린 난을 삽입함으로써‘꺾였지만 살아있는 선비의 마음’을 담았습니다.상기 이미지처럼원통형 박스에 담겨 배송됩니다 :),0,1,0,0,0,0,0
7,7,고도리 샤인머스켓 와인,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/W5dy-1631773756416-%EA%B3%A0%EB%8F%84%EB%A6%AC+%EB%A7%9D%EA%B3%A0%ED%8F%AC%EB%8F%84+%EC%99%80%EC%9D%B8-1.jpg,"새콤달콤한 국산 와인'고도리 샤인머스켓 와인'을 소개합니다![고도리 샤인머스켓 와인], 어떤 맛을 갖고 있나요?‘고도리 샤인머스켓 와인’은 싱그러운 청포도향이 솔~ 솔~ 풍기는 와인이에요.한 모금 입에 들이키면 향만큼이나 맛에서도 포도의 새콤달콤한 맛이 조화롭게 어우러지는데요.목을 넘긴 후엔 입안 가득 침샘을 자극시키도 하니, 식욕 없을 때 이만한 술도 없을 거예요 :)(내가...식욕 없었던 적이 있었던가...)[고도리 샤인머스켓 와인], 어떤 음식과 잘 어울리나요?‘고도리 샤인머스켓 와인’은 한 모금만 마셔도 집 나갔던 입맛이 돌아오게 만드는데요.식사 하기 전 식전주로 마시기 좋고,햇빛이 집안을 빼꼼 비춰주는 나른한 오전에 브런치와 맛있고 분위기 있게 즐기기 좋은 술입니다 :)[고도리 샤인머스켓 와인], 알고 마시면 더 맛있어요!샤인머스켓은 씹을수록 망고 맛이 난다 하여 ‘망고 포도’라고도 불리는데요.산미는 적고 단맛은 높은 것이 특징이에요.한편, ‘고도리 샤인머스켓 와인’에 사용되는 샤인머스켓은[고도리 와인너리]에서 직접 재배하여 사용하는데요.가을에 포도를 수확하여 10개월 이상 발효, 숙성을 통해 만들어진답니다.",과실주,10.5,"375ml,750ml","‘고도리 샤인머스켓 와인’은 싱그러운 청포도향이 솔~ 솔~ 풍기는 와인이에요.한 모금 입에 들이키면 향만큼이나 맛에서도 포도의 새콤달콤한 맛이 조화롭게 어우러지는데요.목을 넘긴 후엔 입안 가득 침샘을 자극시키도 하니, 식욕 없을 때 이만한 술도 없을 거예요 :)(내가...식욕 없었던 적이 있었던가...)","‘고도리 샤인머스켓 와인’은 한 모금만 마셔도 집 나갔던 입맛이 돌아오게 만드는데요.식사 하기 전 식전주로 마시기 좋고,햇빛이 집안을 빼꼼 비춰주는 나른한 오전에 브런치와 맛있고 분위기 있게 즐기기 좋은 술입니다 :)","샤인머스켓은 씹을수록 망고 맛이 난다 하여 ‘망고 포도’라고도 불리는데요.산미는 적고 단맛은 높은 것이 특징이에요.한편, ‘고도리 샤인머스켓 와인’에 사용되는 샤인머스켓은[고도리 와인너리]에서 직접 재배하여 사용하는데요.가을에 포도를 수확하여 10개월 이상 발효, 숙성을 통해 만들어진답니다.",0,1,1,1,1,0,0
8,8,복순도가 손 막걸리,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/WqAl-1655692304884-thumb.jpg,"스파클링 막걸리로 개봉 시 주의해주시길 바랍니다![복순도가 손 막걸리], 어떤 맛을 갖고 있나요?대부분의 막걸리에서 느끼기 힘든 자연 탄산과 자연 발효에서 오는 산미의 조화는'복순도가'에서만 느낄 수 있는 매력이에요.처음에 가라앉아있는 쌀 지게미를 따로 섞을 필요 없이 뚜껑을 열었다 닫았다 하며올라오는 탄산으로 자연스럽게 섞이는 발효의 예술을 확인해보세요!샴페인처럼 톡톡 튀는 막걸리인 만큼 주변 사람들과 축배를 들 때 정말 잘 어울리는 술이에요![복순도가 손 막걸리], 어떤 음식과 잘 어울리나요?탄산만큼이나 산미가 톡톡 튀는 막걸리인 만큼 기름진 음식과 드실 때 더욱 잘 어울립니다.각종 육류나, 짜장면과 같이 기름진 요리와 함께 즐기시면마리아주의 신세계를 느끼실 수 있을 거예요.다만 탄산이 매우 강한 막걸리여서뚜껑을 살살 열었다 닫았다 반복을 10번 이상 해야 안정적으로 열 수 있습니다 :)[복순도가 손 막걸리], 알고 마시면 더 맛있어요!'복순도가'는 울산광역시 울주군에서 '박복순'씨가 직접 손으로 빚어 손 막걸리라 불립니다.전통 항아리에서 전통 누룩과 국산 쌀로 발효시켜 그 풍미가 한층 더 깊은데요.발효가 끝나기 전 병입 과정을 통해살아 숨 쉬는 효모가 만들어낸 천연 탄산이 병 안에 가득 녹아 있답니다.[배송 안내] '복순도가 손 막걸리 X 3병 선물세트'는 포장할 수 있는 부직포 가방이 동봉되어 배송됩니다 :)",탁주,6.5,935ml,대부분의 막걸리에서 느끼기 힘든 자연 탄산과 자연 발효에서 오는 산미의 조화는'복순도가'에서만 느낄 수 있는 매력이에요.처음에 가라앉아있는 쌀 지게미를 따로 섞을 필요 없이 뚜껑을 열었다 닫았다 하며올라오는 탄산으로 자연스럽게 섞이는 발효의 예술을 확인해보세요!샴페인처럼 톡톡 튀는 막걸리인 만큼 주변 사람들과 축배를 들 때 정말 잘 어울리는 술이에요!,"탄산만큼이나 산미가 톡톡 튀는 막걸리인 만큼 기름진 음식과 드실 때 더욱 잘 어울립니다.각종 육류나, 짜장면과 같이 기름진 요리와 함께 즐기시면마리아주의 신세계를 느끼실 수 있을 거예요.다만 탄산이 매우 강한 막걸리여서뚜껑을 살살 열었다 닫았다 반복을 10번 이상 해야 안정적으로 열 수 있습니다 :)",'복순도가'는 울산광역시 울주군에서 '박복순'씨가 직접 손으로 빚어 손 막걸리라 불립니다.전통 항아리에서 전통 누룩과 국산 쌀로 발효시켜 그 풍미가 한층 더 깊은데요.발효가 끝나기 전 병입 과정을 통해살아 숨 쉬는 효모가 만들어낸 천연 탄산이 병 안에 가득 녹아 있답니다.[배송 안내] '복순도가 손 막걸리 X 3병 선물세트'는 포장할 수 있는 부직포 가방이 동봉되어 배송됩니다 :),0,0,1,0,0,0,1
9,9,혼디주,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/thumbnail/C7xm-1637223452230-%ED%98%BC%EB%94%94%EC%A3%BC_%EB%B0%95%EC%8A%A4%EC%97%86%EB%8A%94%EB%B2%84%EC%A0%84.jpg,"[혼디주], 어떤 맛을 갖고 있나요?차가울 땐 감귤의 새콤한 산미와 단맛이 제일 먼저 느껴지고마시다 보면 발효주 특유의 구수하고 담백한 풍미가 느껴지나 여운이 오래 지속되지는 않아요!또 허브 계열의 신선한 향이 퍼져 나오면서 혀 위에 짭짤한 맛이 남기도 한답니다.전체적으로 가볍고 알코올감이 잘 느껴지지 않기에 부담 없이 마시기 좋습니다.[혼디주], 어떤 음식과 잘 어울리나요?먼저 차갑게 보관한 뒤 마시면서 맛의 변화를 느껴보는 것도 재밌답니다.감귤의 풍미가 느껴지는 술인만큼 새콤한 소스가 곁들여진 음식과 궁합이 좋아요.혼디주 특유의 상큼함은 기름진 음식의 느끼함도 잘 잡아줍니다.[혼디주], 알고 마시면 더 맛있어요!제주 서귀포시 남원읍 신례리에서 재배한 감귤을 발효시켜 만들었는데요.남쪽 바다에서 올라오는 따뜻한 해풍을 제일 먼저 맞는 지역으로감귤을 재배하기에 최적이라고 합니다.완벽한 자연조건으로 신례리 감귤은 다른 지역보다 더 높은 당도와단단한 과육을 가진 것으로 유명합니다.",과실주,12.0,330ml,차가울 땐 감귤의 새콤한 산미와 단맛이 제일 먼저 느껴지고마시다 보면 발효주 특유의 구수하고 담백한 풍미가 느껴지나 여운이 오래 지속되지는 않아요!또 허브 계열의 신선한 향이 퍼져 나오면서 혀 위에 짭짤한 맛이 남기도 한답니다.전체적으로 가볍고 알코올감이 잘 느껴지지 않기에 부담 없이 마시기 좋습니다.,먼저 차갑게 보관한 뒤 마시면서 맛의 변화를 느껴보는 것도 재밌답니다.감귤의 풍미가 느껴지는 술인만큼 새콤한 소스가 곁들여진 음식과 궁합이 좋아요.혼디주 특유의 상큼함은 기름진 음식의 느끼함도 잘 잡아줍니다.,제주 서귀포시 남원읍 신례리에서 재배한 감귤을 발효시켜 만들었는데요.남쪽 바다에서 올라오는 따뜻한 해풍을 제일 먼저 맞는 지역으로감귤을 재배하기에 최적이라고 합니다.완벽한 자연조건으로 신례리 감귤은 다른 지역보다 더 높은 당도와단단한 과육을 가진 것으로 유명합니다.,0,1,1,0,1,1,0
